"OPEID","Fund_Code","Academic_Statuses","Admission_Statuses"
"00262700","DSUB","RG - Regular","RG - Regular|AM - Admitted"
"00262700","PELL","RG - Regular|AP - Academic Probation","RG - Regular|AM - Admitted|PV - Provisional"
