"OPEID","State_of_Legal_Residence","Primary_Program_Modality","Charge_Types"
"00262700","KY","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","PW","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","PW","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","LA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","LA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","RI","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","RI","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","ME","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","ME","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","SK","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","SK","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MB","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MB","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","SC","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","SC","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MH","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MH","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","SD","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","SD","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MD","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MD","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","TN","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","TN","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","TX","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","TX","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MX","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MX","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","VI","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","VI","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MI","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MI","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","UT","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","UT","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","VT","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","VT","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AE","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AE","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","VA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","VA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AP","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AP","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","WA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","WA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MN","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MN","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","WV","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","WV","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MS","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MS","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","WI","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","WI","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MO","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MO","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","WY","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","WY","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MT","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MT","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","YT","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","YT","ONLINE","Tuition,Taxes,Misc,Resource"
